  Dx,  Dy,  Dx2,  Dy2,  ALT
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
   0,   0,   0,   0,  30
